product_id,brand,price,category,rating,image_url,product_url
B0D3J15JJ2,Skechers,77.59,New season,4.2,https://m.media-amazon.com/images/I/51yPOxjee5L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D3J15JJ
B09HZD11WT,Adidas AG,66.0,New season,4.1,https://m.media-amazon.com/images/I/41+m-t9gLPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09HZD11WT
B0DPLQMZZ4,Skechers,104.0,New season,3.0,https://m.media-amazon.com/images/I/61OQkKo31iL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DPLQMZZ4
B0CL8424TZ,Herschel,133.0,New season,4.7,https://m.media-amazon.com/images/I/71HmCWB-BML._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CL8424TZ
B083RX7JTQ,Buffway,36.0,New season,4.6,https://m.media-amazon.com/images/I/8170keb2VoL._AC_UL320_.jpg,https://www.amazon.ae/dp/B083RX7JTQ
B0B2WYMLW3,Adidas AG,89.5,New season,4.6,https://m.media-amazon.com/images/I/51kzQGEo2PL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B2WYMLW3
B096X4MBH6,Tommy Hilfiger,174.0,New season,4.2,https://m.media-amazon.com/images/I/81mtSiBYXBS._AC_UL320_.jpg,https://www.amazon.ae/dp/B096X4MBH6
B088KR4ZZS,JanSport,247.22,New season,4.7,https://m.media-amazon.com/images/I/81vBTv+DjPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B088KR4ZZS
B0BN6SSWBY,Skechers,112.0,New season,4.4,https://m.media-amazon.com/images/I/61q3L4QoTOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BN6SSWBY
B00X3LXXDE,grave,23.99,New season,3.6,https://m.media-amazon.com/images/I/71TVqlddlaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00X3LXXDE
B0BP2SBRG7,Adidas AG,29.0,New season,4.6,https://m.media-amazon.com/images/I/71LLCl4NnSL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BP2SBRG7
B0CZLM5KGT,Adidas AG,41.0,New season,3.9,https://m.media-amazon.com/images/I/91cSq177s+L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CZLM5KGT
B000J39T2S,Casio,85.75,New season,4.4,https://m.media-amazon.com/images/I/71Tz2scwrHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B000J39T2S
B0C8HX52GL,Skechers,155.0,New season,4.4,https://m.media-amazon.com/images/I/81DOBwxcNvL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8HX52GL
B0CM6TZCNK,Nike by You,288.0,New season,4.5,https://m.media-amazon.com/images/I/71f1tkff-kL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CM6TZCNK
B0BRWFYZ4J,guess,325.0,New season,4.7,https://m.media-amazon.com/images/I/61VIcEcNgnL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BRWFYZ4J
B093LQ8W49,Under Armour,109.0,New season,4.6,https://m.media-amazon.com/images/I/51CzgAOIMRL._AC_UL320_.jpg,https://www.amazon.ae/dp/B093LQ8W49
B0D5C4581M,PUMA,45.29,New season,4.7,https://m.media-amazon.com/images/I/71rv851PRJL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D5C4581M
B0CKJTVRGV,PUMA,99.67,New season,4.4,https://m.media-amazon.com/images/I/61-R1rTzT5L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CKJTVRGV
B0778848PF,Skechers,153.88,New season,4.1,https://m.media-amazon.com/images/I/816ZVBvIKfL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0778848PF
